Image,Input Image Left,Input Image Right,,Lukas,Leo,Jan,Malte,Nele,Luna,Niko,Jelde,Jerrit,Tjark,Lena,Julius,Lukas,Nick,Martha,,Winner,Absolut,Percantage
1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
2,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
3,5,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,15,100%
4,6,7,,7,6,/,6,7,6,6,6,7,/,7,7,6,7,7,,7,7,46%
5,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
6,2,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,15,100%
7,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
8,6,1,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6,15,100%
9,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
10,0,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
